Date,Exercise,Category,Weight,Weight Unit,Reps,Distance,Distance Unit,Time,Comment
2024-02-26,12-Chest Press,Upper Body,45.0,lbs,20,,,,""
2024-02-26,12-Chest Press,Upper Body,45.0,lbs,12,,,,""
2024-02-26,12-Chest Press,Upper Body,45.0,lbs,23,,,,""
2024-02-26,12-Chest Press,Upper Body,45.0,lbs,25,,,,""
2024-02-26,12-Chest Press,Upper Body,45.0,lbs,30,,,,""
2024-02-26,14-Skull Crusher,Upper Body,20.0,lbs,13,,,,""
2024-02-26,14-Skull Crusher,Upper Body,20.0,lbs,12,,,,""
2024-02-26,14-Skull Crusher,Upper Body,20.0,lbs,12,,,,""
2024-02-26,14-Skull Crusher,Upper Body,20.0,lbs,14,,,,""
2024-02-26,14-Skull Crusher,Upper Body,20.0,lbs,20,,,,""
2024-02-27,09-Shoulder Press,Upper Body,20.0,lbs,12,,,,""
2024-02-27,09-Shoulder Press,Upper Body,20.0,lbs,12,,,,""
2024-02-27,09-Shoulder Press,Upper Body,20.0,lbs,12,,,,""
2024-02-27,09-Shoulder Press,Upper Body,20.0,lbs,12,,,,""
2024-02-27,09-Shoulder Press,Upper Body,20.0,lbs,12,,,,""
2024-02-27,16-Hammer Curl,Upper Body,20.0,lbs,12,,,,""
2024-02-27,16-Hammer Curl,Upper Body,20.0,lbs,12,,,,""
2024-02-27,16-Hammer Curl,Upper Body,20.0,lbs,12,,,,""
2024-02-27,16-Hammer Curl,Upper Body,20.0,lbs,12,,,,""
2024-02-27,16-Hammer Curl,Upper Body,20.0,lbs,12,,,,""
2024-02-27,Running (Treadmill),Cardio,,,,0.58,m,0:18:00,""
2024-03-04,13-Chest Fly,Upper Body,20.0,lbs,12,,,,""
2024-03-04,13-Chest Fly,Upper Body,20.0,lbs,13,,,,""
2024-03-04,13-Chest Fly,Upper Body,20.0,lbs,14,,,,""
2024-03-04,13-Chest Fly,Upper Body,20.0,lbs,15,,,,""
2024-03-04,13-Chest Fly,Upper Body,20.0,lbs,16,,,,""
2024-03-04,16-Hammer Curl,Upper Body,20.0,lbs,13,,,,""
2024-03-04,16-Hammer Curl,Upper Body,20.0,lbs,13,,,,""
2024-03-04,16-Hammer Curl,Upper Body,20.0,lbs,14,,,,""
2024-03-04,16-Hammer Curl,Upper Body,20.0,lbs,15,,,,""
2024-03-04,16-Hammer Curl,Upper Body,20.0,lbs,16,,,,""
